Время; ЛинX; ЛинY; ЛинZ; УглX; УглY; УглZ; Крен; Тангаж; Рыск; Север; Восток; Высота; СигналGPS 
2021-03-26 18:30:53.188455;-0.20588938891887668;-0.16710609197616577;9.839898109436037;0.005187093745917083;0.003303586971014738;-0.0018179415492340925;-0.8979323506355287;1.1361409425735476;57.34310531616212;6187054.842;383136.893;1;EHT+101.473;
2021-03-26 18:30:54.188397;-0.1924012750387192;-0.14657846093177795;9.835934638977053;-0.00307858013547957;-0.002267956268042326;-0.0010862944182008505;-0.9091745018959047;1.1496312618255615;57.36432266235352;6187052.612;383135.953;1;EHT+97.733;
2021-03-26 18:30:55.188342;-0.20319917798042297;-0.16029047966003418;9.833274841308594;1.4012984643248174e-45;0.0025197858922183514;-0.003316998016089201;-0.9117047786712646;1.1568992137908936;57.36884307861328;6187050.798;383136.36;1;EHT+95.036;
2021-03-26 18:30:56.188287;-0.20720040798187256;-0.14388717710971835;9.837338447570803;0.0004425645747687668;-0.005447865463793278;-0.001010298728942871;-0.9085702300071717;1.1640136241912842;57.36199188232422;6187047.578;383136.013;1;EHT+91.526;
2021-03-26 18:30:57.188232;-0.21115942299366;-0.17271363735198975;9.851885795593263;-0.0005930662155151367;-0.0017568472540006044;-0.0009939075680449607;-0.8908051848411561;1.1653968095779421;57.37657546997071;6187051.434;383136.031;1;EHT+96.371;
2021-03-26 18:30:58.188177;-0.21128965914249423;-0.15622980892658236;9.830665588378906;0.001163780689239502;0.0008210541564039887;0.002150237793102861;-0.8914878368377686;1.1740642786026003;57.39982604980469;6187049.614;383135.637;1;EHT+94.967;
2021-03-26 18:30:59.188120;-0.20300579071044922;-0.16298930346965793;9.83449935913086;0.00023543834686279297;-0.0015154482098296287;-0.0004425644874572754;-0.8892807364463807;1.1818953752517702;57.39208602905274;6187051.187;383136.821;1;EHT+96.848;
2021-03-26 18:31:00.188065;-0.20189239084720614;-0.16023726761341098;9.822612762451172;0.0004336237907409668;-0.0009641051874496044;-0.0016182661056518555;-0.87031090259552;1.1842904090881348;57.409645080566406;6187046.395;383136.675;1;EHT+92.057;
2021-03-26 18:31:01.188008;-0.19373114407062533;-0.16028143465518954;9.830564498901367;-0.0033602118492126465;-0.001791119924746454;0.0011682510375976562;-0.8668474555015565;1.1962122917175293;57.42146301269531;6187049.922;383136.79;1;EHT+97.432;
2021-03-26 18:31:02.187954;-0.20186570286750793;-0.15890379250049594;9.833269119262695;0.00019222500850446522;0.0033423311542719607;-0.005008281208574772;-0.8736898899078369;1.2331708669662478;57.426361083984375;6187053.235;383137.434;1;EHT+100.988;
2021-03-26 18:31:03.187898;-0.18947553634643555;-0.15467216074466708;9.83711910247803;0.0029951331671327357;-0.00708848237991333;-0.0005185602931305766;-0.8715875744819642;1.2560131549835205;57.43224716186524;6187051.223;383138.034;1;EHT+99.329;
2021-03-26 18:31:04.187844;-0.18969452381134033;-0.14926022291183472;9.833248138427734;0.00029206273029558366;-0.0037848944775760174;0.0010922549990937116;-0.8529911041259766;1.2515765428543093;57.429405212402344;6187049.451;383138.434;1;EHT+98.385;
2021-03-26 18:31:05.187788;-0.19368077814579013;-0.16013856232166293;9.822492599487305;0.0014483929844573142;0.0024378299713134766;0.0029459595680236816;-0.8558634519577026;1.258374333381653;57.42486953735352;6187051.434;383140.713;1;EHT+101.185;
2021-03-26 18:31:06.187730;-0.20049279928207397;-0.1534390896558762;9.835947036743164;0.0013500452041625977;0.0003382563882041723;-0.004488230217248202;-0.8499272465705873;1.2540141344070437;57.431312561035156;6187048.14;383136.676;1;EHT+94.872;
2021-03-26 18:31:07.187674;-0.22872313857078552;-0.16041070222854614;9.838698387145998;0.004328787326812744;-0.0037327404133975506;-0.0032722952309995894;-0.8504390120506288;1.256808161735535;57.43308639526368;6187049.344;383136.59;1;EHT+97.008;
2021-03-26 18:31:08.187621;-0.18155868351459506;-0.13270436227321628;9.827857017517092;0.0036701560020446777;-0.0056624417193233976;-0.002995133399963379;-0.8554259538650513;1.2811317443847656;57.440887451171875;6187048.434;383136.195;1;EHT+96.546;
2021-03-26 18:31:09.187566;-0.212607815861702;-0.16162168979644775;9.822656631469727;0.0025197863578796387;-8.046627772273497e-05;-5.066394805908203e-05;-0.8596115708351136;1.285947918891907;57.452411651611335;6187048.247;383136.274;1;EHT+96.603;
2021-03-26 18:31:10.187511;-0.19215054810047152;-0.16287657618522644;9.833119392395021;0.0014036893844604492;-0.006918609607964755;0.0006809829501435161;-0.8767974972724916;1.2866808176040652;57.4674415588379;6187044.069;383136.23;1;EHT+91.672;
2021-03-26 18:31:11.187454;-0.20988690853118896;-0.15212906897068026;9.842631340026857;0.0036478047259151936;-0.0033319003414362673;-0.0009492039680480957;-0.88674134016037;1.284419059753418;57.47589111328125;6187045.56;383135.962;1;EHT+94.131;
2021-03-26 18:31:12.187398;-0.19772113859653476;-0.16299183666706088;9.837228775024414;-0.0009924172190949323;-0.0015929340152069928;-0.004816054366528988;-0.8889985084533691;1.2765674591064453;57.501739501953125;6187042.547;383135.04;1;EHT+90.053;
2021-03-26 18:31:13.187340;-0.20845043659210205;-0.14799973368644714;9.83590602874756;2.2351739971782084e-05;-0.0030502676963806152;-0.003732740879058838;-0.8915348052978516;1.2673736810684206;57.53107452392578;6187038.771;383135.469;1;EHT+86.208;
2021-03-26 18:31:14.187287;-0.20988517999649048;-0.15081804990768433;9.85195827484131;-1.3411045983957594e-05;-0.0022023916244506836;-0.0001758336729835719;-0.8976761102676392;1.2673683166503906;57.52495193481446;6187041.289;383135.58;1;EHT+89.459;
2021-03-26 18:31:15.187227;-0.1841101050376892;-0.15878355503082275;9.843727111816406;0.0013858077581971884;-0.00418871594592929;-0.00236481404863298;-0.8955658674240112;1.2499399185180664;57.54732894897462;6187040.273;383135.437;1;EHT+87.967;
2021-03-26 18:31:16.187172;-0.20588003098964694;-0.1657528281211853;9.833252906799318;0.00209361338056624;0.001023709774017334;-0.004005432594567538;-0.9011551141738892;1.2292048931121826;57.566001892089844;6187037.707;383135.154;1;EHT+85.131;
2021-03-26 18:31:17.187122;-0.20735697448253634;-0.13701923191547397;9.817410469055178;-0.00019669532775878906;-0.0014916063519194724;-0.0023156404495239258;-0.8939903378486634;1.2266975641250613;57.566993713378906;6187040.244;383135.587;1;EHT+87.779;
2021-03-26 18:31:18.187066;-0.19643744826316833;-0.16571593284606934;9.830558776855469;-0.00038444995880126953;0.0006496906862594188;0.0007972120074555278;-0.9057839512825013;1.2284914255142214;57.59005355834962;6187043.682;383135.972;1;EHT+91.893;
2021-03-26 18:31:19.187009;-0.21115536987781527;-0.1576809287071228;9.862579345703125;0.0008285045623779297;-0.0031635167542845015;0.0012055039405822754;-0.9174926280975342;1.2473337650299072;57.606464385986335;6187050.482;383136.749;1;EHT+98.501;
2021-03-26 18:31:20.186952;-0.1948252767324448;-0.18341106176376343;9.830394744873047;0.0001803040649974719;-0.005270540714263916;-0.0001475215394748375;-0.9144671559333802;1.2461788654327393;57.61072158813477;6187050.487;383135.873;1;EHT+99.212;
2021-03-26 18:31:21.186896;-0.22205798327922824;-0.1521536856889725;9.83470344543457;0.004202127456665039;-0.003519654972478748;-0.005218387115746737;-0.9198074936866761;1.2411426305770876;57.62175750732422;6187048.494;383136.617;1;EHT+96.555;
2021-03-26 18:31:22.186840;-0.20441226661205295;-0.14106850326061252;9.839902877807617;0.006294251885265113;-0.005105138756334782;-0.0040277838706970215;-0.9117659330368042;1.2357871532440186;57.63535690307618;6187048.938;383136.351;1;EHT+96.982;
2021-03-26 18:31:23.186784;-0.20985938608646396;-0.1534140706062317;9.826670646667482;0.003135204548016191;-0.006076693534851074;-0.006045401096343994;-0.9237377643585205;1.2464826107025146;57.653045654296875;6187051.111;383136.206;1;EHT+98.060;
2021-03-26 18:31:24.186736;-0.20159180462360385;-0.16426366567611694;9.83847427368164;0.007289649453014136;-0.005464256275445224;0.0005409121513366699;-0.9134278893470765;1.2559627294540407;57.66208267211915;6187047.517;383135.843;1;EHT+93.778;
2021-03-26 18:31:25.171052;-0.1853766143321991;-0.17790596187114718;9.839674949645998;0.002765655517578125;-0.00481903599575162;-0.0010520220967009666;-0.9106091260910034;1.254467844963074;57.663734436035156;6187050.977;383136.151;1;EHT+97.889;
2021-03-26 18:31:26.186618;-0.21108277142047885;-0.1521297246217728;9.841218948364258;0.0011041758116334677;-0.005185603629797698;0.003480910789221525;-0.9161284565925599;1.2595789432525635;57.67334747314453;6187046.392;383135.939;1;EHT+92.543;
